CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
032263002023091113;03226300;11/09/2023;7613;I2M2;0.5906
032507972023090613;03250797;06/09/2023;7613;I2M2;0.6495
032504302023090613;03250430;06/09/2023;7613;I2M2;0.8178
032504752023090613;03250475;06/09/2023;7613;I2M2;0.7893
032459702023090513;03245970;05/09/2023;7613;I2M2;0.7508
032463002023090513;03246300;05/09/2023;7613;I2M2;0.3335
041231002023090513;04123100;05/09/2023;7613;I2M2;0.7469
032339802023083113;03233980;31/08/2023;7613;I2M2;0.5907
032342152023083013;03234215;30/08/2023;7613;I2M2;0.1406
032401002023083013;03240100;30/08/2023;7613;I2M2;0.4852
032346502023082913;03234650;29/08/2023;7613;I2M2;0.4415
032349562023082913;03234956;29/08/2023;7613;I2M2;0.6398
032484012023082813;03248401;28/08/2023;7613;I2M2;0.7848
032411702023082813;03241170;28/08/2023;7613;I2M2;0.8596
032265402023081813;03226540;18/08/2023;7613;I2M2;0.6242
032314902023081713;03231490;17/08/2023;7613;I2M2;0.4966
032324502023081713;03232450;17/08/2023;7613;I2M2;0.8327
032317402023081613;03231740;16/08/2023;7613;I2M2;0.7037
032320802023081613;03232080;16/08/2023;7613;I2M2;0.6647
032260002023081613;03226000;16/08/2023;7613;I2M2;0.8887
041156752023081113;04115675;11/08/2023;7613;I2M2;0.6476
041107002023081013;04110700;10/08/2023;7613;I2M2;0.4327
032266402023072713;03226640;27/07/2023;7613;I2M2;0.6757
032271002023072613;03227100;26/07/2023;7613;I2M2;0.5309
032272962023072613;03227296;26/07/2023;7613;I2M2;0.6204
032310652023072513;03231065;25/07/2023;7613;I2M2;0.2323
032451002023072513;03245100;25/07/2023;7613;I2M2;0.649
032286902023072413;03228690;24/07/2023;7613;I2M2;0.5895
032694382023071913;03269438;19/07/2023;7613;I2M2;0.6376
041237602023071913;04123760;19/07/2023;7613;I2M2;0.7671
032551802023071813;03255180;18/07/2023;7613;I2M2;0.6469
032700002023071813;03270000;18/07/2023;7613;I2M2;0.8046
032555802023071713;03255580;17/07/2023;7613;I2M2;0.5651
041155802023071313;04115580;13/07/2023;7613;I2M2;0.7713
032640002023070713;03264000;07/07/2023;7613;I2M2;0.4928
032703902023070513;03270390;05/07/2023;7613;I2M2;0.6969
032649652023070513;03264965;05/07/2023;7613;I2M2;0.7189
032659932023070413;03265993;04/07/2023;7613;I2M2;0.8226
032710002023070413;03271000;04/07/2023;7613;I2M2;0.8019
032657102023070413;03265710;04/07/2023;7613;I2M2;0.6735
032547702023070413;03254770;04/07/2023;7613;I2M2;0.3775
032656002023070413;03265600;04/07/2023;7613;I2M2;0.8053
032578002023062913;03257800;29/06/2023;7613;I2M2;0.6291
032537802023062813;03253780;28/06/2023;7613;I2M2;0.5631
032616002023062713;03261600;27/06/2023;7613;I2M2;0.735
032120902023062313;03212090;23/06/2023;7613;I2M2;0.8865
031746952023062213;03174695;22/06/2023;7613;I2M2;0.262
031750002023062213;03175000;22/06/2023;7613;I2M2;0.8699
031769452023062113;03176945;21/06/2023;7613;I2M2;0.5056
032227802023061613;03222780;16/06/2023;7613;I2M2;0.7609
031946202023060713;03194620;07/06/2023;7613;I2M2;0.5542
032160002023051913;03216000;19/05/2023;7613;I2M2;0.5951
032215002023051913;03221500;19/05/2023;7613;I2M2;0.7159
031917002023051913;03191700;19/05/2023;7613;I2M2;0.6478
032174002023051913;03217400;19/05/2023;7613;I2M2;0.457
032170002023051913;03217000;19/05/2023;7613;I2M2;0.2874
032142402023051813;03214240;18/05/2023;7613;I2M2;0.5156
031788352023051813;03178835;18/05/2023;7613;I2M2;0.5717
